Date,Open,High,Low,Close,Volume,Stock_Code
10/5/2000 16:00:00,12,13,11.5,11.6,255558800,0066.HK
10/9/2000 16:00:00,11.2,12.4,11.1,12.4,130364500,0066.HK
10/10/2000 16:00:00,12.35,12.85,12.15,12.25,89614400,0066.HK
10/11/2000 16:00:00,12.2,12.4,11.8,11.95,48606550,0066.HK
10/12/2000 16:00:00,12,12.5,11.8,12.45,46245000,0066.HK
10/13/2000 16:00:00,12.05,12.4,11.9,12.2,52218500,0066.HK
10/16/2000 16:00:00,12.5,12.65,12,12.05,31997500,0066.HK
10/17/2000 16:00:00,12.05,12.1,11.85,12,14204700,0066.HK
10/18/2000 16:00:00,11.9,11.95,11.5,11.6,31362000,0066.HK
10/19/2000 16:00:00,11.6,11.75,11.1,11.75,24058000,0066.HK
10/20/2000 16:00:00,12.1,12.15,11.75,11.8,21449000,0066.HK
10/23/2000 16:00:00,11.85,11.9,11.6,11.7,8310000,0066.HK
10/24/2000 16:00:00,11.7,11.8,11.5,11.5,5876400,0066.HK
10/25/2000 16:00:00,11.55,11.7,11.5,11.55,6347500,0066.HK
10/26/2000 16:00:00,11.5,11.7,11.4,11.65,4926000,0066.HK
10/27/2000 16:00:00,11.65,11.65,11.4,11.45,7443900,0066.HK
10/30/2000 16:00:00,11.55,11.6,11.45,11.45,5643000,0066.HK
10/31/2000 16:00:00,11.45,11.6,11.45,11.55,8998000,0066.HK
11/1/2000 16:00:00,11.65,11.9,11.55,11.75,15919500,0066.HK
11/2/2000 16:00:00,11.7,11.8,11.55,11.6,5559000,0066.HK
11/3/2000 16:00:00,11.75,12.1,11.65,12,26121500,0066.HK
11/6/2000 16:00:00,12,12.1,11.6,11.7,13119500,0066.HK
11/7/2000 16:00:00,11.75,11.85,11.65,11.8,8652000,0066.HK
11/8/2000 16:00:00,11.8,12.1,11.8,11.8,20447500,0066.HK
11/9/2000 16:00:00,11.7,12.4,11.7,12.3,30089500,0066.HK
11/10/2000 16:00:00,12.25,12.5,12,12.05,18180500,0066.HK
11/13/2000 16:00:00,11.9,11.9,11.7,11.8,7663000,0066.HK
11/14/2000 16:00:00,11.8,12.05,11.75,11.95,6515851,0066.HK
11/15/2000 16:00:00,12,12.1,11.8,11.9,7282700,0066.HK
11/16/2000 16:00:00,11.9,12,11.85,11.9,3037000,0066.HK
11/17/2000 16:00:00,11.9,11.95,11.7,11.85,11303500,0066.HK
11/20/2000 16:00:00,11.85,12,11.85,11.85,7444500,0066.HK
11/21/2000 16:00:00,11.85,11.9,11.75,11.85,4814500,0066.HK
11/22/2000 16:00:00,11.85,12,11.85,11.85,7915500,0066.HK
11/23/2000 16:00:00,11.8,12.15,11.7,12.1,11719000,0066.HK
11/24/2000 16:00:00,12.35,12.35,11.85,11.95,4448800,0066.HK
11/27/2000 16:00:00,12,12.05,11.85,11.9,4391100,0066.HK
11/28/2000 16:00:00,11.95,12.4,11.9,12.25,18033000,0066.HK
11/29/2000 16:00:00,12.1,12.4,12.1,12.3,14877000,0066.HK
11/30/2000 16:00:00,12.25,12.3,11.95,11.95,4967500,0066.HK
12/1/2000 16:00:00,12,12.2,11.9,12.05,4039600,0066.HK
12/4/2000 16:00:00,12,12.25,12,12.2,3682000,0066.HK
12/5/2000 16:00:00,12.2,12.3,12.15,12.2,4696000,0066.HK
12/6/2000 16:00:00,12.35,12.45,12.2,12.3,12510500,0066.HK
12/7/2000 16:00:00,12.25,12.35,12.1,12.2,7272000,0066.HK
12/8/2000 16:00:00,12.2,12.35,12.15,12.25,3549500,0066.HK
12/11/2000 16:00:00,12.3,12.6,12.25,12.45,14899000,0066.HK
12/12/2000 16:00:00,12.45,12.6,12.4,12.45,11341530,0066.HK
12/13/2000 16:00:00,12.45,12.85,12.45,12.75,14679600,0066.HK
12/14/2000 16:00:00,12.8,12.8,12.55,12.7,7327500,0066.HK
12/15/2000 16:00:00,12.55,12.7,12.55,12.55,8818000,0066.HK
12/18/2000 16:00:00,12.5,12.7,12.5,12.65,3929500,0066.HK
12/19/2000 16:00:00,12.65,13.2,12.65,13.1,24593000,0066.HK
12/20/2000 16:00:00,13,13.3,12.9,13.3,13759000,0066.HK
12/21/2000 16:00:00,12.95,13.35,12.95,13.1,11196500,0066.HK
12/22/2000 16:00:00,13.2,13.25,13.05,13.15,4429000,0066.HK
12/27/2000 16:00:00,13.25,13.75,13.2,13.6,11724000,0066.HK
12/28/2000 16:00:00,13.6,13.75,13.4,13.45,5249500,0066.HK
12/29/2000 16:00:00,13.5,13.75,13.45,13.7,6557050,0066.HK
1/2/2001 16:00:00,13.6,13.8,13.55,13.75,3984000,0066.HK
1/3/2001 16:00:00,13.5,13.9,13.5,13.8,6282000,0066.HK
1/4/2001 16:00:00,13.95,14.2,13.8,14.2,22413500,0066.HK
1/5/2001 16:00:00,14.2,14.25,13.75,13.9,16228500,0066.HK
1/8/2001 16:00:00,13.7,14.7,13.7,14.4,13810000,0066.HK
1/9/2001 16:00:00,14.4,14.7,14.25,14.5,10301500,0066.HK
1/10/2001 16:00:00,14.5,14.95,14.5,14.8,16545000,0066.HK
1/11/2001 16:00:00,14.8,14.85,14.3,14.4,15021500,0066.HK
1/12/2001 16:00:00,14.5,14.6,14.2,14.3,8637000,0066.HK
1/15/2001 16:00:00,14.1,14.15,13.75,13.85,11530500,0066.HK
1/16/2001 16:00:00,13.9,14,13.75,13.8,5521000,0066.HK
1/17/2001 16:00:00,13.8,13.9,13.6,13.65,8495000,0066.HK
1/18/2001 16:00:00,13.65,13.9,13.65,13.75,6289600,0066.HK
1/19/2001 16:00:00,13.9,13.95,13.5,13.6,17744606,0066.HK
1/22/2001 16:00:00,13.6,13.8,13.55,13.7,7515500,0066.HK
1/23/2001 16:00:00,13.7,13.8,13.65,13.75,8261214,0066.HK
1/29/2001 16:00:00,13.85,14.4,13.8,14.3,17236500,0066.HK
1/30/2001 16:00:00,14.35,14.5,14.15,14.25,7976000,0066.HK
1/31/2001 16:00:00,14.35,14.6,14.25,14.5,12200500,0066.HK
2/1/2001 16:00:00,14.5,14.55,14.3,14.5,10078500,0066.HK
2/2/2001 16:00:00,14.5,14.55,14.3,14.35,3784500,0066.HK
2/5/2001 16:00:00,14.3,14.35,14.15,14.25,2631300,0066.HK
2/6/2001 16:00:00,14.3,14.35,14.1,14.15,3926000,0066.HK
2/7/2001 16:00:00,14.15,14.25,14,14,4684000,0066.HK
2/8/2001 16:00:00,14,14.3,14,14.25,4402500,0066.HK
2/9/2001 16:00:00,14.25,14.45,14.25,14.4,3861000,0066.HK
2/12/2001 16:00:00,14.4,14.4,14.2,14.25,1905000,0066.HK
2/13/2001 16:00:00,14.25,14.5,14.25,14.45,6070500,0066.HK
